dataset,period,frequency,measure,value,source,row,column,status
migrants,2020,annual,"{'value': 426495, 'source': 'migrants.xls', 'row': 16, 'column': 6, 'status': 'published'}",1,migrants.xls,16,17,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",669992,migrants.xls,17,4,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",598247,migrants.xls,17,5,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",405419,migrants.xls,17,6,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",192828,migrants.xls,17,12,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",71745,migrants.xls,17,18,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",60927,migrants.xls,17,7,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",115026,migrants.xls,17,8,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",55341,migrants.xls,17,9,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",174119,migrants.xls,17,10,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",6,migrants.xls,17,11,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",149185,migrants.xls,17,13,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",23566,migrants.xls,17,14,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",304,migrants.xls,17,15,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",19772,migrants.xls,17,16,published
migrants,2021,annual,"{'value': 405419, 'source': 'migrants.xls', 'row': 17, 'column': 6, 'status': 'published'}",1,migrants.xls,17,17,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",728081,migrants.xls,18,4,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",646165,migrants.xls,18,5,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",458203,migrants.xls,18,6,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",187962,migrants.xls,18,12,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",81916,migrants.xls,18,18,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",79216,migrants.xls,18,7,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",125854,migrants.xls,18,8,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",64749,migrants.xls,18,9,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",188382,migrants.xls,18,10,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",2,migrants.xls,18,11,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",143513,migrants.xls,18,13,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",25601,migrants.xls,18,14,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",387,migrants.xls,18,15,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",18461,migrants.xls,18,16,published
migrants,2022,annual,"{'value': 458203, 'source': 'migrants.xls', 'row': 18, 'column': 6, 'status': 'published'}",0,migrants.xls,18,17,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",753430,migrants.xls,19,4,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",664214,migrants.xls,19,5,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",463229,migrants.xls,19,6,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",200985,migrants.xls,19,12,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",89216,migrants.xls,19,18,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",87148,migrants.xls,19,7,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",121283,migrants.xls,19,8,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",65667,migrants.xls,19,9,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",189130,migrants.xls,19,10,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",1,migrants.xls,19,11,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",156994,migrants.xls,19,13,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",24674,migrants.xls,19,14,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",315,migrants.xls,19,15,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",19002,migrants.xls,19,16,published
migrants,2023,annual,"{'value': 463229, 'source': 'migrants.xls', 'row': 19, 'column': 6, 'status': 'published'}",0,migrants.xls,19,17,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",820083,migrants.xls,20,4,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",724805,migrants.xls,20,5,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",510138,migrants.xls,20,6,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",214667,migrants.xls,20,12,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",95278,migrants.xls,20,18,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",100574,migrants.xls,20,7,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",133685,migrants.xls,20,8,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",70651,migrants.xls,20,9,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",205227,migrants.xls,20,10,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",1,migrants.xls,20,11,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",171730,migrants.xls,20,13,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",23342,migrants.xls,20,14,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",280,migrants.xls,20,15,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",19315,migrants.xls,20,16,published
migrants,2024,annual,"{'value': 510138, 'source': 'migrants.xls', 'row': 20, 'column': 6, 'status': 'published'}",0,migrants.xls,20,17,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",866275,migrants.xls,21,4,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",766212,migrants.xls,21,5,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",540662,migrants.xls,21,6,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",225550,migrants.xls,21,12,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",100063,migrants.xls,21,18,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",108696,migrants.xls,21,7,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",148794,migrants.xls,21,8,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",68822,migrants.xls,21,9,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",214349,migrants.xls,21,10,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",1,migrants.xls,21,11,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",184890,migrants.xls,21,13,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",21458,migrants.xls,21,14,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",238,migrants.xls,21,15,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",18964,migrants.xls,21,16,published
migrants,2025,annual,"{'value': 540662, 'source': 'migrants.xls', 'row': 21, 'column': 6, 'status': 'published'}",0,migrants.xls,21,17,published
industries,2021,annual,礦業及土石採取業,170.5,hours.ods,8,3,published
industries,2021,annual,製造業,175.7,hours.ods,8,4,published
industries,2021,annual,電力及燃氣供應業,177.3,hours.ods,8,7,published
industries,2021,annual,用水供應及污染整治業,170,hours.ods,8,8,published
industries,2021,annual,營建工程業,165.6,hours.ods,8,9,published
industries,2021,annual,批發及零售業,158.3,hours.ods,8,11,published
industries,2021,annual,運輸及倉儲業,170,hours.ods,8,12,published
industries,2021,annual,住宿及餐飲業,155.5,hours.ods,8,13,published
industries,2021,annual,出版影音及資通訊業,161.4,hours.ods,8,14,published
industries,2021,annual,金融及保險業,165.6,hours.ods,8,15,published
industries,2021,annual,不動產業,166.8,hours.ods,8,16,published
industries,2021,annual,專業、科學及技術服務業,162.3,hours.ods,8,17,published
industries,2021,annual,支援服務業,180,hours.ods,8,18,published
industries,2021,annual,教育業(不含小學以上各級公私立學校等),141.2,hours.ods,8,19,published
industries,2021,annual,醫療保健及社會工作服務業,158.2,hours.ods,8,20,published
industries,2021,annual,藝術、娛樂及休閒服務業,137.6,hours.ods,8,21,published
industries,2021,annual,其他服務業,160.5,hours.ods,8,22,published
industries,2022,annual,礦業及土石採取業,169.1,hours.ods,9,3,published
industries,2022,annual,製造業,174.6,hours.ods,9,4,published
industries,2022,annual,電力及燃氣供應業,178,hours.ods,9,7,published
industries,2022,annual,用水供應及污染整治業,169.9,hours.ods,9,8,published
industries,2022,annual,營建工程業,166.2,hours.ods,9,9,published
industries,2022,annual,批發及零售業,160.5,hours.ods,9,11,published
industries,2022,annual,運輸及倉儲業,170.3,hours.ods,9,12,published
industries,2022,annual,住宿及餐飲業,157.4,hours.ods,9,13,published
industries,2022,annual,出版影音及資通訊業,162.5,hours.ods,9,14,published
industries,2022,annual,金融及保險業,166.2,hours.ods,9,15,published
industries,2022,annual,不動產業,168.2,hours.ods,9,16,published
industries,2022,annual,專業、科學及技術服務業,162.9,hours.ods,9,17,published
industries,2022,annual,支援服務業,177.2,hours.ods,9,18,published
industries,2022,annual,教育業(不含小學以上各級公私立學校等),146.7,hours.ods,9,19,published
industries,2022,annual,醫療保健及社會工作服務業,160.1,hours.ods,9,20,published
industries,2022,annual,藝術、娛樂及休閒服務業,152.8,hours.ods,9,21,published
industries,2022,annual,其他服務業,165.7,hours.ods,9,22,published
industries,2023,annual,礦業及土石採取業,168,hours.ods,10,3,published
industries,2023,annual,製造業,174.4,hours.ods,10,4,published
industries,2023,annual,電力及燃氣供應業,178,hours.ods,10,7,published
industries,2023,annual,用水供應及污染整治業,168.7,hours.ods,10,8,published
industries,2023,annual,營建工程業,166.1,hours.ods,10,9,published
industries,2023,annual,批發及零售業,163.2,hours.ods,10,11,published
industries,2023,annual,運輸及倉儲業,171,hours.ods,10,12,published
industries,2023,annual,住宿及餐飲業,161,hours.ods,10,13,published
industries,2023,annual,出版影音及資通訊業,162.2,hours.ods,10,14,published
industries,2023,annual,金融及保險業,165.6,hours.ods,10,15,published
industries,2023,annual,不動產業,170.1,hours.ods,10,16,published
industries,2023,annual,專業、科學及技術服務業,163.9,hours.ods,10,17,published
industries,2023,annual,支援服務業,177.2,hours.ods,10,18,published
industries,2023,annual,教育業(不含小學以上各級公私立學校等),145.7,hours.ods,10,19,published
industries,2023,annual,醫療保健及社會工作服務業,165.9,hours.ods,10,20,published
industries,2023,annual,藝術、娛樂及休閒服務業,162.7,hours.ods,10,21,published
industries,2023,annual,其他服務業,168.6,hours.ods,10,22,published
industries,2024,annual,礦業及土石採取業,166.6,hours.ods,11,3,published
industries,2024,annual,製造業,177.1,hours.ods,11,4,published
industries,2024,annual,電力及燃氣供應業,175.9,hours.ods,11,7,published
industries,2024,annual,用水供應及污染整治業,167.9,hours.ods,11,8,published
industries,2024,annual,營建工程業,167.3,hours.ods,11,9,published
industries,2024,annual,批發及零售業,163.6,hours.ods,11,11,published
industries,2024,annual,運輸及倉儲業,170.5,hours.ods,11,12,published
industries,2024,annual,住宿及餐飲業,162.7,hours.ods,11,13,published
industries,2024,annual,出版影音及資通訊業,162.2,hours.ods,11,14,published
industries,2024,annual,金融及保險業,164.3,hours.ods,11,15,published
industries,2024,annual,不動產業,166.4,hours.ods,11,16,published
industries,2024,annual,專業、科學及技術服務業,163.5,hours.ods,11,17,published
industries,2024,annual,支援服務業,176.5,hours.ods,11,18,published
industries,2024,annual,教育業(不含小學以上各級公私立學校等),144.4,hours.ods,11,19,published
industries,2024,annual,醫療保健及社會工作服務業,165.7,hours.ods,11,20,published
industries,2024,annual,藝術、娛樂及休閒服務業,163.8,hours.ods,11,21,published
industries,2024,annual,其他服務業,167.3,hours.ods,11,22,published
industries,2025,annual,礦業及土石採取業,166,hours.ods,12,3,published
industries,2025,annual,製造業,176.7,hours.ods,12,4,published
industries,2025,annual,電力及燃氣供應業,172,hours.ods,12,7,published
industries,2025,annual,用水供應及污染整治業,168.1,hours.ods,12,8,published
industries,2025,annual,營建工程業,167.5,hours.ods,12,9,published
industries,2025,annual,批發及零售業,163.4,hours.ods,12,11,published
industries,2025,annual,運輸及倉儲業,169.3,hours.ods,12,12,published
industries,2025,annual,住宿及餐飲業,162.7,hours.ods,12,13,published
industries,2025,annual,出版影音及資通訊業,160,hours.ods,12,14,published
industries,2025,annual,金融及保險業,164.1,hours.ods,12,15,published
industries,2025,annual,不動產業,165.9,hours.ods,12,16,published
industries,2025,annual,專業、科學及技術服務業,162.7,hours.ods,12,17,published
industries,2025,annual,支援服務業,176.3,hours.ods,12,18,published
industries,2025,annual,教育業(不含小學以上各級公私立學校等),145.1,hours.ods,12,19,published
industries,2025,annual,醫療保健及社會工作服務業,166.6,hours.ods,12,20,published
industries,2025,annual,藝術、娛樂及休閒服務業,163.2,hours.ods,12,21,published
industries,2025,annual,其他服務業,166.5,hours.ods,12,22,published
births,2012,annual,births,229481,births.ods,59,3,published
births,2012,annual,rate,9.86,births.ods,59,7,published
births,2013,annual,births,199113,births.ods,60,3,published
births,2013,annual,rate,8.53,births.ods,60,7,published
births,2014,annual,births,210383,births.ods,61,3,published
births,2014,annual,rate,8.99,births.ods,61,7,published
births,2015,annual,births,213598,births.ods,62,3,published
births,2015,annual,rate,9.1,births.ods,62,7,published
births,2016,annual,births,208440,births.ods,63,3,published
births,2016,annual,rate,8.86,births.ods,63,7,published
births,2017,annual,births,193844,births.ods,64,3,published
births,2017,annual,rate,8.229238312554447,births.ods,64,7,published
births,2018,annual,births,181601,births.ods,65,3,published
births,2018,annual,rate,7.701458343259615,births.ods,65,7,published
births,2019,annual,births,177767,births.ods,66,3,published
births,2019,annual,rate,7.53376845037871,births.ods,66,7,published
births,2020,annual,births,165249,births.ods,67,3,published
births,2020,annual,rate,7.007367873158962,births.ods,67,7,published
births,2021,annual,births,153820,births.ods,68,3,published
births,2021,annual,rate,6.554380328336872,births.ods,68,7,published
births,2022,annual,births,138986,births.ods,69,3,published
births,2022,annual,rate,5.95995442019518,births.ods,69,7,published
births,2023,annual,births,135571,births.ods,70,3,published
births,2023,annual,rate,5.80789383640796,births.ods,70,7,published
births,2024,annual,births,134856,births.ods,71,3,published
births,2024,annual,rate,5.76,births.ods,71,7,published
births,2025,annual,births,107812,births.ods,72,3,published
births,2025,annual,rate,4.62,births.ods,72,7,published
minimumPolicy,2026-01-01,effective-date,minimum,29500,minimum-wage.html,,,published
minimumPolicy,2026-01-01,effective-date,hourlyMinimum,196,minimum-wage.html,,,published
